"Network","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"Default","3","90","93.3333333333333","90"
"Default","30","76.6666666666667","76.6666666666667","73.3333333333333"
"Cingulo-Opercular","3","93.3333333333333","83.3333333333333","83.3333333333333"
"Cingulo-Opercular","30","76.6666666666667","83.3333333333333","73.3333333333333"
"Frontoparietal","3","93.3333333333333","93.3333333333333","93.3333333333333"
"Frontoparietal","30","90","83.3333333333333","80"
"Somatomotor","3","53.3333333333333","60","46.6666666666667"
"Somatomotor","30","53.3333333333333","56.6666666666667","50"
"Visual2","3","76.6666666666667","70","70"
"Visual2","30","73.3333333333333","66.6666666666667","63.3333333333333"
"Visual1","3","56.6666666666667","63.3333333333333","50"
"Visual1","30","46.6666666666667","60","43.3333333333333"
"Language","3","86.6666666666667","80","76.6666666666667"
"Language","30","73.3333333333333","90","73.3333333333333"
"Dorsal-Attention","3","90","90","86.6666666666667"
"Dorsal-Attention","30","93.3333333333333","90","90"
"Orbito-Affective","3","13.3333333333333","23.3333333333333","10"
"Orbito-Affective","30","20","16.6666666666667","13.3333333333333"
"Posterior-Multimodal","3","80","76.6666666666667","70"
"Posterior-Multimodal","30","83.3333333333333","83.3333333333333","80"
"Ventral-Multimodal","3","23.3333333333333","26.6666666666667","16.6666666666667"
"Ventral-Multimodal","30","30","33.3333333333333","23.3333333333333"
"Auditory","3","66.6666666666667","66.6666666666667","63.3333333333333"
"Auditory","30","63.3333333333333","63.3333333333333","50"
