Network,Day,Accuarcy
Default,3,93.33333333
Default,30,76.66666667
Cingulo-Opercular,3,83.33333333
Cingulo-Opercular,30,83.33333333
Frontoparietal,3,93.33333333
Frontoparietal,30,83.33333333
Somatomotor,3,60
Somatomotor,30,56.66666667
Visual2,3,70
Visual2,30,66.66666667
Visual1,3,63.33333333
Visual1,30,60
Language,3,80
Language,30,90
Dorsal-Attention,3,90
Dorsal-Attention,30,90
Orbito-Affective,3,23.33333333
Orbito-Affective,30,16.66666667
Posterior-Multimodal,3,76.66666667
Posterior-Multimodal,30,83.33333333
Ventral-Multimodal,3,26.66666667
Ventral-Multimodal,30,33.33333333
Auditory,3,66.66666667
Auditory,30,63.33333333
