"Network","Day","ACC_COL","ACC_ROW","ACC_BOTH"
"DMN","3","46.6666666666667","60","43.3333333333333"
"DMN","30","43.3333333333333","43.3333333333333","33.3333333333333"
"FPN","3","40","50","36.6666666666667"
"FPN","30","46.6666666666667","56.6666666666667","40"
"SN","3","70","73.3333333333333","66.6666666666667"
"SN","30","43.3333333333333","46.6666666666667","40"
"SMN","3","60","50","50"
"SMN","30","33.3333333333333","33.3333333333333","26.6666666666667"
"VN","3","73.3333333333333","73.3333333333333","70"
"VN","30","63.3333333333333","63.3333333333333","60"
"DAN","3","80","73.3333333333333","73.3333333333333"
"DAN","30","70","76.6666666666667","63.3333333333333"
