Network,Group,Day,ACC_G1,ACC_G2,ACC_G3
DMN,Hetromodal,3,90,60,76.66666667
DMN,Hetromodal,30,73.33333333,43.33333333,66.66666667
FPN,Hetromodal,3,96.66666667,50,76.66666667
FPN,Hetromodal,30,83.33333333,56.66666667,76.66666667
DAN,Hetromodal,3,93.33333333,73.33333333,80
DAN,Hetromodal,30,90,76.66666667,83.33333333
SN,Hetromodal,3,83.33333333,73.33333333,73.33333333
SN,Hetromodal,30,86.66666667,46.66666667,60
SMN,Unimodal,3,53.33333333,50,46.66666667
SMN,Unimodal,30,63.33333333,33.33333333,36.66666667
VN,Unimodal,3,70,73.33333333,40
VN,Unimodal,30,70,63.33333333,50
